business_id,name,categories,business_id_str,Restaurants,Food,Shopping,Nightlife,Beauty & Spas,Bars,Home Services,Local Services,Health & Medical,Sandwiches,Coffee & Tea,Event Planning & Services,Pizza,American (New),Breakfast & Brunch,Automotive,American (Traditional),Active Life,Arts & Entertainment,Fashion,Hair Salons,Italian,Specialty Food,Chinese,Nail Salons
5343,St Honore Pastries,"['Restaurants', 'Food', 'Bubble Tea', 'Coffee & Tea', 'Bakeries']",MTSW4McQd7CbVtyjqoe9mw,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5349,Tuna Bar,"['Sushi Bars', 'Restaurants', 'Japanese']",MUTTqe8uqyMdBl186RmNeA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6458,BAP,"['Korean', 'Restaurants']",ROeacJQwBeh05Rqg7F6TCg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6284,Bar One,"['Cocktail Bars', 'Bars', 'Italian', 'Nightlife', 'Restaurants']",QdN72BWoyFypdGJhhI5r7g,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5390,DeSandro on Main,"['Pizza', 'Restaurants', 'Salad', 'Soup']",Mjboz24M9NlBeiOJKLEd_Q,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8673,Craft Hall,"['Eatertainment', 'Arts & Entertainment', 'Brewpubs', 'American (Traditional)', 'Bakeries', 'Breweries', 'Food', 'Restaurants']",aPNXGTDkf-4bjhyMBQxqpQ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,Pathmark,"['Food', 'Grocery']",-4dYswJy7SPcbcERvitmIg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12212,Wawa,"['Restaurants', 'Automotive', 'Delis', 'Gas Stations', 'Food', 'Coffee & Tea', 'Sandwiches', 'Convenience Stores']",ppFCk9aQkM338Rgwpl2F5A,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9569,AM&PM Locksmith,"['Keys & Locksmiths', 'Home Services', 'Local Services']",eMjnw_7wp-CscyNh6Lu0ZA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14065,Walmart Vision & Glasses,"['Eyewear & Opticians', 'Shopping']",xfmkEGiIERBaBMLhw-dTCg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10521,Pete's Barber Shop,"['Barbers', 'Beauty & Spas']",iPSPcprSnkLOuL1Ns8UZZA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,Golden Chopstick Chinese Restaurant,"['Restaurants', 'Chinese']",3BJxm-HnvzdwD1zjmSbmyQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3984,"David Gower, Jr.  - Coldwell Banker Preferred","['Real Estate', 'Home Services', 'Real Estate Agents']",GWGXTKR0Fhdvzf_isDqJug,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,David Thomas Trailways,"['Buses', 'Transportation', 'Bus Tours', 'Hotels & Travel', 'Travel Agents', 'Travel Services', 'Airport Shuttles', 'Tours', 'Public Transportation']",-aeZuatjCDMV1X4gCTz9Ug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10177,P's & Q's - Premium Quality,"['Fashion', 'Shopping', ""Men's Clothing""]",h-y5azB-VlQAT3m7Ff2g2Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
